intervention_id,student_id,intervention_type,semester,triggered_by,completed,outcome_next_semester
INT0000101,STU000104,AI Guide,Spring 2020,aid gap,False,Enrolled
INT0000102,STU000104,AI Guide,Fall 2020,gateway course failure,False,Withdrew
INT0000103,STU000105,Peer Mentoring,Fall 2023,aid gap,True,Withdrew
INT0000104,STU000108,Tutoring,Fall 2024,aid gap,True,Enrolled
INT0000105,STU000108,Advising,Fall 2022,GPA drop,True,Enrolled
INT0000106,STU000108,Advising,Spring 2025,GPA drop,False,Graduated
INT0000107,STU000109,Tutoring,Spring 2020,gateway course failure,True,Graduated
INT0000108,STU000109,AI Guide,Fall 2020,gateway course failure,True,Enrolled
INT0000109,STU000110,AI Guide,Fall 2019,aid gap,False,Withdrew
INT0000110,STU000115,Advising,Fall 2022,withdrawal risk,True,Enrolled
INT0000111,STU000115,Tutoring,Fall 2021,gateway course failure,True,Withdrew
INT0000112,STU000115,Tutoring,Fall 2023,GPA drop,True,Withdrew
INT0000113,STU000116,Advising,Fall 2018,gateway course failure,False,Enrolled
INT0000114,STU000116,Advising,Spring 2018,aid gap,True,Withdrew
INT0000115,STU000116,Peer Mentoring,Fall 2018,aid gap,True,Enrolled
INT0000116,STU000120,Advising,Fall 2022,GPA drop,False,Enrolled
INT0000117,STU000122,Advising,Spring 2021,withdrawal risk,True,Graduated
INT0000118,STU000124,AI Guide,Fall 2021,gateway course failure,True,Enrolled
INT0000119,STU000128,Financial Aid Counseling,Spring 2021,gateway course failure,True,Graduated
INT0000120,STU000128,Financial Aid Counseling,Spring 2021,withdrawal risk,True,Graduated
INT0000121,STU000133,AI Guide,Fall 2019,withdrawal risk,True,Enrolled
INT0000122,STU000133,AI Guide,Spring 2019,aid gap,True,Graduated
INT0000123,STU000133,Financial Aid Counseling,Fall 2019,gateway course failure,True,Enrolled
INT0000124,STU000135,AI Guide,Spring 2023,withdrawal risk,False,Withdrew
INT0000125,STU000136,Tutoring,Spring 2022,GPA drop,False,Graduated
INT0000126,STU000136,Financial Aid Counseling,Spring 2022,gateway course failure,True,Graduated
INT0000127,STU000136,AI Guide,Fall 2021,withdrawal risk,True,Enrolled
INT0000128,STU000137,AI Guide,Fall 2021,aid gap,True,Enrolled
INT0000129,STU000137,Advising,Spring 2021,GPA drop,True,Enrolled
INT0000130,STU000138,AI Guide,Spring 2020,GPA drop,True,Graduated
INT0000131,STU000139,Advising,Fall 2022,gateway course failure,False,Withdrew
INT0000132,STU000139,Peer Mentoring,Fall 2022,withdrawal risk,True,Withdrew
INT0000133,STU000141,Advising,Fall 2022,aid gap,True,Enrolled
INT0000134,STU000141,Financial Aid Counseling,Spring 2022,withdrawal risk,True,Graduated
INT0000135,STU000143,Advising,Fall 2023,gateway course failure,False,Enrolled
INT0000136,STU000147,Peer Mentoring,Fall 2022,aid gap,True,Enrolled
INT0000137,STU000147,Financial Aid Counseling,Spring 2022,withdrawal risk,True,Enrolled
INT0000138,STU000149,Tutoring,Fall 2019,gateway course failure,True,Withdrew
INT0000139,STU000149,AI Guide,Fall 2019,withdrawal risk,False,Withdrew
INT0000140,STU000150,Advising,Fall 2022,withdrawal risk,True,Enrolled
INT0000141,STU000152,Financial Aid Counseling,Fall 2020,gateway course failure,True,Enrolled
INT0000142,STU000152,AI Guide,Spring 2019,GPA drop,True,Enrolled
INT0000143,STU000156,Financial Aid Counseling,Fall 2021,GPA drop,False,Withdrew
INT0000144,STU000156,Peer Mentoring,Fall 2021,withdrawal risk,True,Withdrew
INT0000145,STU000156,Tutoring,Fall 2021,withdrawal risk,True,Withdrew
INT0000146,STU000161,Peer Mentoring,Fall 2021,aid gap,True,Enrolled
INT0000147,STU000161,AI Guide,Spring 2022,aid gap,True,Enrolled
INT0000148,STU000161,Peer Mentoring,Fall 2022,aid gap,True,Enrolled
INT0000149,STU000162,Financial Aid Counseling,Spring 2021,GPA drop,True,Withdrew
INT0000150,STU000165,Tutoring,Spring 2020,aid gap,True,Withdrew
INT0000151,STU000166,AI Guide,Spring 2018,GPA drop,True,Withdrew
INT0000152,STU000166,Financial Aid Counseling,Fall 2018,aid gap,True,Enrolled
INT0000153,STU000167,AI Guide,Fall 2025,GPA drop,True,Enrolled
INT0000154,STU000167,Tutoring,Spring 2025,GPA drop,True,Graduated
INT0000155,STU000167,Peer Mentoring,Fall 2025,withdrawal risk,True,Enrolled
INT0000156,STU000168,AI Guide,Spring 2020,gateway course failure,True,Enrolled
INT0000157,STU000168,Financial Aid Counseling,Spring 2018,gateway course failure,True,Enrolled
INT0000158,STU000169,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Withdrew
INT0000159,STU000169,Tutoring,Spring 2020,aid gap,False,Withdrew
INT0000160,STU000169,AI Guide,Spring 2020,aid gap,True,Withdrew
INT0000161,STU000170,AI Guide,Fall 2019,withdrawal risk,False,Enrolled
INT0000162,STU000170,Financial Aid Counseling,Fall 2018,GPA drop,True,Enrolled
INT0000163,STU000170,Advising,Fall 2019,gateway course failure,True,Enrolled
INT0000164,STU000172,Advising,Fall 2021,GPA drop,True,Withdrew
INT0000165,STU000172,Peer Mentoring,Fall 2021,aid gap,True,Withdrew
INT0000166,STU000176,Advising,Spring 2022,withdrawal risk,True,Withdrew
INT0000167,STU000180,Advising,Fall 2022,aid gap,True,Enrolled
INT0000168,STU000180,Financial Aid Counseling,Fall 2023,aid gap,True,Enrolled
INT0000169,STU000182,Peer Mentoring,Fall 2022,aid gap,True,Withdrew
INT0000170,STU000182,AI Guide,Spring 2022,aid gap,True,Withdrew
INT0000171,STU000182,Advising,Fall 2022,GPA drop,False,Withdrew
INT0000172,STU000184,Advising,Spring 2022,aid gap,False,Enrolled
INT0000173,STU000184,Financial Aid Counseling,Spring 2023,GPA drop,True,Graduated
INT0000174,STU000187,Peer Mentoring,Spring 2024,withdrawal risk,True,Graduated
INT0000175,STU000187,AI Guide,Fall 2021,gateway course failure,True,Withdrew
INT0000176,STU000187,Financial Aid Counseling,Fall 2024,aid gap,True,Enrolled
INT0000177,STU000189,AI Guide,Spring 2020,gateway course failure,True,Withdrew
INT0000178,STU000189,Financial Aid Counseling,Fall 2023,gateway course failure,True,Enrolled
INT0000179,STU000193,Peer Mentoring,Fall 2022,gateway course failure,True,Enrolled
INT0000180,STU000193,AI Guide,Spring 2022,GPA drop,False,Withdrew
INT0000181,STU000194,Tutoring,Fall 2022,withdrawal risk,True,Withdrew
INT0000182,STU000194,Peer Mentoring,Fall 2022,aid gap,True,Withdrew
INT0000183,STU000196,AI Guide,Fall 2021,GPA drop,True,Withdrew
INT0000184,STU000197,Peer Mentoring,Spring 2020,aid gap,True,Graduated
INT0000185,STU000197,Peer Mentoring,Spring 2020,gateway course failure,True,Graduated
INT0000186,STU000197,AI Guide,Spring 2020,withdrawal risk,False,Graduated
INT0000187,STU000201,Advising,Fall 2020,aid gap,False,Enrolled
INT0000188,STU000201,AI Guide,Fall 2022,withdrawal risk,False,Withdrew
INT0000189,STU000204,Financial Aid Counseling,Spring 2020,gateway course failure,True,Enrolled
INT0000190,STU000204,AI Guide,Spring 2020,withdrawal risk,True,Enrolled
INT0000191,STU000204,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Enrolled
INT0000192,STU000205,Peer Mentoring,Fall 2021,withdrawal risk,True,Withdrew
INT0000193,STU000205,Tutoring,Fall 2021,withdrawal risk,True,Withdrew
INT0000194,STU000207,Tutoring,Fall 2021,aid gap,True,Enrolled
INT0000195,STU000209,AI Guide,Fall 2021,aid gap,True,Enrolled
INT0000196,STU000209,Advising,Fall 2019,GPA drop,False,Enrolled
INT0000197,STU000210,AI Guide,Spring 2019,aid gap,True,Enrolled
INT0000198,STU000213,Peer Mentoring,Spring 2021,GPA drop,True,Enrolled
INT0000199,STU000215,Tutoring,Fall 2022,gateway course failure,True,Withdrew
INT0000200,STU000216,Tutoring,Spring 2021,withdrawal risk,True,Graduated
INT0000201,STU000216,Financial Aid Counseling,Spring 2020,withdrawal risk,True,Enrolled
INT0000202,STU000216,Financial Aid Counseling,Spring 2020,gateway course failure,True,Enrolled
INT0000203,STU000217,Advising,Fall 2022,GPA drop,False,Enrolled
INT0000204,STU000217,AI Guide,Fall 2022,withdrawal risk,True,Enrolled
INT0000205,STU000221,Peer Mentoring,Spring 2025,withdrawal risk,True,Graduated
INT0000206,STU000222,Financial Aid Counseling,Fall 2021,withdrawal risk,True,Withdrew
INT0000207,STU000222,AI Guide,Fall 2021,gateway course failure,True,Withdrew
INT0000208,STU000227,AI Guide,Spring 2021,gateway course failure,True,Enrolled
INT0000209,STU000227,Advising,Fall 2020,GPA drop,False,Enrolled
INT0000210,STU000227,Tutoring,Fall 2022,GPA drop,True,Enrolled
INT0000211,STU000228,AI Guide,Spring 2018,withdrawal risk,True,Graduated
INT0000212,STU000228,Financial Aid Counseling,Fall 2018,aid gap,True,Enrolled
INT0000213,STU000232,Peer Mentoring,Fall 2020,GPA drop,True,Withdrew
INT0000214,STU000232,AI Guide,Fall 2020,aid gap,True,Withdrew
INT0000215,STU000234,AI Guide,Fall 2025,GPA drop,True,Withdrew
INT0000216,STU000234,AI Guide,Spring 2024,aid gap,True,Enrolled
INT0000217,STU000234,Financial Aid Counseling,Spring 2025,gateway course failure,True,Graduated
INT0000218,STU000235,Peer Mentoring,Spring 2020,withdrawal risk,True,Withdrew
INT0000219,STU000237,AI Guide,Spring 2019,gateway course failure,True,Graduated
INT0000220,STU000237,Tutoring,Spring 2019,withdrawal risk,True,Graduated
INT0000221,STU000241,AI Guide,Fall 2021,withdrawal risk,True,Withdrew
INT0000222,STU000241,AI Guide,Fall 2021,withdrawal risk,False,Withdrew
INT0000223,STU000243,Advising,Spring 2021,gateway course failure,True,Graduated
INT0000224,STU000243,Advising,Spring 2021,aid gap,True,Graduated
INT0000225,STU000247,Peer Mentoring,Spring 2022,GPA drop,True,Withdrew
INT0000226,STU000250,Financial Aid Counseling,Fall 2022,gateway course failure,True,Enrolled
INT0000227,STU000253,Peer Mentoring,Spring 2018,GPA drop,True,Withdrew
INT0000228,STU000253,AI Guide,Fall 2018,gateway course failure,True,Enrolled
INT0000229,STU000253,Financial Aid Counseling,Fall 2018,GPA drop,True,Enrolled
INT0000230,STU000254,Financial Aid Counseling,Spring 2021,aid gap,True,Withdrew
INT0000231,STU000254,Advising,Fall 2021,GPA drop,True,Enrolled
INT0000232,STU000254,Advising,Spring 2021,aid gap,False,Withdrew
INT0000233,STU000258,Tutoring,Fall 2021,gateway course failure,True,Enrolled
INT0000234,STU000259,Peer Mentoring,Spring 2021,aid gap,True,Graduated
INT0000235,STU000259,Advising,Spring 2021,withdrawal risk,True,Graduated
INT0000236,STU000259,Tutoring,Spring 2018,withdrawal risk,False,Enrolled
INT0000237,STU000261,Financial Aid Counseling,Spring 2022,GPA drop,True,Withdrew
INT0000238,STU000262,Financial Aid Counseling,Fall 2020,GPA drop,True,Withdrew
INT0000239,STU000263,AI Guide,Fall 2019,aid gap,True,Withdrew
INT0000240,STU000263,Tutoring,Fall 2019,gateway course failure,True,Withdrew
INT0000241,STU000266,AI Guide,Fall 2022,withdrawal risk,True,Withdrew
INT0000242,STU000266,Advising,Spring 2022,GPA drop,False,Withdrew
INT0000243,STU000267,Peer Mentoring,Spring 2022,withdrawal risk,True,Withdrew
INT0000244,STU000267,Tutoring,Fall 2022,withdrawal risk,True,Withdrew
INT0000245,STU000270,Financial Aid Counseling,Fall 2022,GPA drop,True,Withdrew
INT0000246,STU000270,Tutoring,Fall 2021,aid gap,True,Enrolled
INT0000247,STU000271,AI Guide,Spring 2019,GPA drop,True,Withdrew
INT0000248,STU000275,Advising,Fall 2021,aid gap,True,Withdrew
INT0000249,STU000275,Tutoring,Fall 2020,aid gap,True,Enrolled
INT0000250,STU000275,Peer Mentoring,Fall 2021,gateway course failure,False,Withdrew
INT0000251,STU000276,Financial Aid Counseling,Spring 2018,aid gap,True,Withdrew
INT0000252,STU000276,Advising,Fall 2018,GPA drop,True,Withdrew
INT0000253,STU000278,AI Guide,Fall 2019,gateway course failure,True,Withdrew
INT0000254,STU000278,Advising,Spring 2018,gateway course failure,True,Enrolled
INT0000255,STU000280,Tutoring,Spring 2022,GPA drop,False,Graduated
INT0000256,STU000280,Tutoring,Spring 2022,withdrawal risk,True,Graduated
INT0000257,STU000280,Peer Mentoring,Fall 2022,withdrawal risk,True,Enrolled
INT0000258,STU000281,Advising,Fall 2021,GPA drop,True,Enrolled
INT0000259,STU000282,Tutoring,Spring 2022,gateway course failure,True,Withdrew
INT0000260,STU000282,Tutoring,Fall 2022,GPA drop,False,Withdrew
INT0000261,STU000283,Peer Mentoring,Spring 2018,withdrawal risk,True,Withdrew
INT0000262,STU000285,Financial Aid Counseling,Spring 2022,gateway course failure,False,Withdrew
INT0000263,STU000287,Peer Mentoring,Fall 2022,aid gap,True,Withdrew
INT0000264,STU000287,AI Guide,Fall 2022,gateway course failure,False,Withdrew
INT0000265,STU000291,Peer Mentoring,Fall 2018,aid gap,True,Enrolled
INT0000266,STU000291,Peer Mentoring,Spring 2018,withdrawal risk,True,Graduated
INT0000267,STU000295,Peer Mentoring,Fall 2019,GPA drop,False,Enrolled
INT0000268,STU000296,AI Guide,Spring 2022,GPA drop,True,Withdrew
INT0000269,STU000296,Financial Aid Counseling,Fall 2022,withdrawal risk,True,Withdrew
INT0000270,STU000296,Peer Mentoring,Fall 2022,gateway course failure,True,Withdrew
INT0000271,STU000297,AI Guide,Fall 2019,gateway course failure,True,Enrolled
INT0000272,STU000297,AI Guide,Spring 2019,aid gap,True,Enrolled
INT0000273,STU000298,Peer Mentoring,Spring 2018,withdrawal risk,True,Withdrew
INT0000274,STU000301,Tutoring,Spring 2021,withdrawal risk,True,Graduated
INT0000275,STU000303,Tutoring,Spring 2020,aid gap,True,Enrolled
INT0000276,STU000303,Financial Aid Counseling,Fall 2019,aid gap,True,Enrolled
INT0000277,STU000304,Financial Aid Counseling,Spring 2018,GPA drop,True,Withdrew
INT0000278,STU000304,Tutoring,Fall 2018,GPA drop,True,Withdrew
INT0000279,STU000304,Financial Aid Counseling,Spring 2018,GPA drop,True,Withdrew
INT0000280,STU000305,Advising,Fall 2018,gateway course failure,True,Withdrew
INT0000281,STU000305,Tutoring,Spring 2018,aid gap,True,Withdrew
INT0000282,STU000307,Tutoring,Spring 2021,aid gap,False,Graduated
INT0000283,STU000309,Financial Aid Counseling,Fall 2018,aid gap,False,Enrolled
INT0000284,STU000309,Advising,Fall 2018,withdrawal risk,True,Enrolled
INT0000285,STU000309,AI Guide,Fall 2018,gateway course failure,True,Enrolled
INT0000286,STU000313,Financial Aid Counseling,Fall 2020,GPA drop,False,Withdrew
INT0000287,STU000313,AI Guide,Spring 2020,GPA drop,True,Graduated
INT0000288,STU000316,Financial Aid Counseling,Spring 2020,withdrawal risk,True,Graduated
INT0000289,STU000316,Peer Mentoring,Fall 2020,aid gap,True,Withdrew
INT0000290,STU000318,Peer Mentoring,Fall 2019,gateway course failure,True,Enrolled
INT0000291,STU000318,Tutoring,Fall 2019,GPA drop,True,Enrolled
INT0000292,STU000318,AI Guide,Spring 2019,GPA drop,True,Enrolled
INT0000293,STU000319,AI Guide,Fall 2025,withdrawal risk,True,Enrolled
INT0000294,STU000321,Advising,Spring 2019,gateway course failure,True,Withdrew
INT0000295,STU000321,Peer Mentoring,Spring 2019,withdrawal risk,True,Withdrew
INT0000296,STU000321,Tutoring,Fall 2020,aid gap,False,Withdrew
INT0000297,STU000322,Financial Aid Counseling,Fall 2021,GPA drop,True,Withdrew
INT0000298,STU000323,AI Guide,Spring 2023,gateway course failure,True,Withdrew
INT0000299,STU000323,Tutoring,Fall 2022,aid gap,True,Enrolled
INT0000300,STU000325,Financial Aid Counseling,Spring 2021,aid gap,True,Graduated
INT0000301,STU000325,AI Guide,Spring 2021,withdrawal risk,True,Graduated
INT0000302,STU000326,AI Guide,Fall 2019,gateway course failure,True,Enrolled
INT0000303,STU000326,AI Guide,Spring 2021,withdrawal risk,False,Graduated
INT0000304,STU000326,AI Guide,Spring 2020,gateway course failure,True,Withdrew
INT0000305,STU000327,AI Guide,Fall 2019,withdrawal risk,True,Enrolled
INT0000306,STU000327,AI Guide,Fall 2019,withdrawal risk,True,Enrolled
INT0000307,STU000327,Peer Mentoring,Spring 2019,aid gap,False,Graduated
INT0000308,STU000328,Financial Aid Counseling,Fall 2020,gateway course failure,True,Withdrew
INT0000309,STU000330,Peer Mentoring,Fall 2020,withdrawal risk,True,Enrolled
INT0000310,STU000332,Tutoring,Fall 2021,aid gap,False,Withdrew
INT0000311,STU000332,Financial Aid Counseling,Spring 2021,withdrawal risk,False,Withdrew
INT0000312,STU000332,AI Guide,Spring 2021,aid gap,False,Withdrew
INT0000313,STU000335,Peer Mentoring,Spring 2020,GPA drop,True,Withdrew
INT0000314,STU000335,Advising,Spring 2020,withdrawal risk,True,Withdrew
INT0000315,STU000345,Tutoring,Spring 2021,gateway course failure,True,Enrolled
INT0000316,STU000345,Financial Aid Counseling,Spring 2021,withdrawal risk,True,Enrolled
INT0000317,STU000351,Financial Aid Counseling,Spring 2024,GPA drop,True,Graduated
INT0000318,STU000351,Tutoring,Spring 2021,gateway course failure,True,Enrolled
INT0000319,STU000352,Advising,Fall 2019,aid gap,True,Withdrew
INT0000320,STU000353,Advising,Fall 2025,gateway course failure,False,Graduated
INT0000321,STU000353,AI Guide,Fall 2020,GPA drop,True,Enrolled
INT0000322,STU000353,Peer Mentoring,Fall 2020,aid gap,True,Enrolled
INT0000323,STU000355,Tutoring,Fall 2020,gateway course failure,True,Enrolled
INT0000324,STU000356,Tutoring,Fall 2019,withdrawal risk,True,Enrolled
INT0000325,STU000357,Financial Aid Counseling,Fall 2019,gateway course failure,True,Enrolled
INT0000326,STU000357,AI Guide,Fall 2019,aid gap,True,Enrolled
INT0000327,STU000357,Tutoring,Fall 2018,aid gap,True,Enrolled
INT0000328,STU000359,AI Guide,Spring 2024,aid gap,True,Withdrew
INT0000329,STU000360,Tutoring,Spring 2023,GPA drop,True,Enrolled
INT0000330,STU000365,Advising,Fall 2019,GPA drop,True,Enrolled
INT0000331,STU000369,AI Guide,Fall 2021,aid gap,False,Withdrew
INT0000332,STU000369,Peer Mentoring,Spring 2022,aid gap,False,Graduated
INT0000333,STU000370,Tutoring,Spring 2018,aid gap,True,Withdrew
INT0000334,STU000370,Advising,Spring 2018,GPA drop,True,Withdrew
INT0000335,STU000377,Peer Mentoring,Fall 2022,GPA drop,True,Enrolled
INT0000336,STU000381,Tutoring,Fall 2022,withdrawal risk,True,Enrolled
INT0000337,STU000387,Tutoring,Spring 2019,gateway course failure,True,Enrolled
INT0000338,STU000389,Financial Aid Counseling,Spring 2020,withdrawal risk,True,Graduated
INT0000339,STU000389,Advising,Spring 2020,aid gap,False,Graduated
INT0000340,STU000389,AI Guide,Spring 2020,GPA drop,True,Graduated
INT0000341,STU000391,AI Guide,Fall 2018,aid gap,False,Withdrew
INT0000342,STU000391,AI Guide,Fall 2018,GPA drop,True,Withdrew
INT0000343,STU000392,Tutoring,Spring 2021,withdrawal risk,False,Graduated
INT0000344,STU000392,Advising,Spring 2020,GPA drop,True,Enrolled
INT0000345,STU000393,Financial Aid Counseling,Fall 2019,GPA drop,True,Withdrew
INT0000346,STU000397,Tutoring,Fall 2022,GPA drop,True,Withdrew
INT0000347,STU000400,Advising,Fall 2024,aid gap,False,Enrolled
INT0000348,STU000400,Peer Mentoring,Fall 2025,aid gap,True,Withdrew
INT0000349,STU000400,Advising,Fall 2024,gateway course failure,False,Enrolled
INT0000350,STU000406,Advising,Fall 2021,aid gap,True,Withdrew
INT0000351,STU000406,AI Guide,Fall 2021,GPA drop,True,Withdrew
INT0000352,STU000406,Tutoring,Fall 2021,aid gap,True,Withdrew
