outcome_id,student_id,completed_program,completion_year,time_to_completion,employed_within_6mo,salary_range,pathway_achieved
OUT0000165,STU000165,False,,,False,<$30K,False
OUT0000166,STU000166,False,,,True,<$30K,False
OUT0000167,STU000167,True,2025.0,4.12,True,$60K-$100K,True
OUT0000168,STU000168,True,2021.0,3.0,True,$60K-$100K,True
OUT0000169,STU000169,False,,,False,$30K-$60K,False
OUT0000170,STU000170,True,2019.0,2.72,True,>$100K,True
OUT0000171,STU000171,False,,,True,$30K-$60K,False
OUT0000172,STU000172,False,,,False,<$30K,False
OUT0000173,STU000173,False,,,False,<$30K,False
OUT0000174,STU000174,True,2025.0,2.47,False,$60K-$100K,False
OUT0000175,STU000175,True,2024.0,2.7,True,$60K-$100K,True
OUT0000176,STU000176,True,2023.0,2.5,True,$30K-$60K,True
OUT0000177,STU000177,False,,,True,<$30K,False
OUT0000178,STU000178,False,,,False,<$30K,False
OUT0000179,STU000179,False,,,False,$30K-$60K,False
OUT0000180,STU000180,True,2024.0,3.59,False,$30K-$60K,False
OUT0000181,STU000181,True,2019.0,4.54,False,$30K-$60K,False
OUT0000182,STU000182,False,,,False,<$30K,False
OUT0000183,STU000183,True,2022.0,3.72,True,$60K-$100K,True
OUT0000184,STU000184,True,2023.0,4.82,False,>$100K,False
OUT0000185,STU000185,True,2026.0,4.57,False,$30K-$60K,False
OUT0000186,STU000186,False,,,False,$30K-$60K,False
OUT0000187,STU000187,True,2024.0,2.42,True,$30K-$60K,True
OUT0000188,STU000188,True,2023.0,5.23,True,$30K-$60K,True
OUT0000189,STU000189,True,2023.0,4.84,True,<$30K,True
OUT0000190,STU000190,True,2022.0,1.74,False,$30K-$60K,False
OUT0000191,STU000191,True,2021.0,1.68,True,$30K-$60K,True
OUT0000192,STU000192,True,2026.0,5.41,True,$30K-$60K,True
OUT0000193,STU000193,False,,,False,<$30K,False
OUT0000194,STU000194,False,,,False,<$30K,False
OUT0000195,STU000195,False,,,True,<$30K,False
OUT0000196,STU000196,False,,,True,<$30K,False
OUT0000197,STU000197,True,2020.0,3.26,False,$30K-$60K,False
OUT0000198,STU000198,False,,,False,$30K-$60K,False
OUT0000199,STU000199,True,2021.0,2.81,True,$30K-$60K,True
OUT0000200,STU000200,True,2022.0,2.48,True,>$100K,True
OUT0000201,STU000201,True,2023.0,2.97,True,<$30K,True
OUT0000202,STU000202,True,2019.0,4.04,True,$30K-$60K,True
OUT0000203,STU000203,True,2018.0,2.01,True,$30K-$60K,True
OUT0000204,STU000204,True,2021.0,3.83,True,$60K-$100K,True
OUT0000205,STU000205,False,,,False,$30K-$60K,False
OUT0000206,STU000206,True,2023.0,4.33,True,$60K-$100K,True
OUT0000207,STU000207,True,2021.0,2.93,False,>$100K,False
OUT0000208,STU000208,True,2022.0,2.0,True,$30K-$60K,True
OUT0000209,STU000209,True,2022.0,3.5,True,<$30K,True
OUT0000210,STU000210,True,2020.0,4.39,False,$30K-$60K,False
OUT0000211,STU000211,False,,,True,<$30K,False
OUT0000212,STU000212,False,,,False,$30K-$60K,False
OUT0000213,STU000213,True,2024.0,4.25,True,$60K-$100K,True
OUT0000214,STU000214,True,2023.0,4.31,False,$30K-$60K,False
OUT0000215,STU000215,False,,,False,<$30K,False
OUT0000216,STU000216,True,2021.0,3.89,True,$60K-$100K,True
OUT0000217,STU000217,True,2022.0,2.93,True,<$30K,True
OUT0000218,STU000218,True,2019.0,3.72,True,<$30K,True
OUT0000219,STU000219,False,,,False,$30K-$60K,False
OUT0000220,STU000220,False,,,False,<$30K,False
OUT0000221,STU000221,True,2025.0,3.05,True,$30K-$60K,True
OUT0000222,STU000222,False,,,False,<$30K,False
OUT0000223,STU000223,True,2019.0,2.11,True,$30K-$60K,True
OUT0000224,STU000224,True,2024.0,5.09,False,$30K-$60K,False
OUT0000225,STU000225,False,,,True,<$30K,False
OUT0000226,STU000226,True,2019.0,3.58,False,>$100K,False
OUT0000227,STU000227,True,2023.0,3.52,False,$30K-$60K,False
OUT0000228,STU000228,True,2018.0,3.49,True,$30K-$60K,True
OUT0000229,STU000229,False,,,True,<$30K,False
OUT0000230,STU000230,True,2028.0,3.44,False,<$30K,False
OUT0000231,STU000231,True,2022.0,4.76,False,>$100K,False
OUT0000232,STU000232,False,,,False,<$30K,False
OUT0000233,STU000233,False,,,True,<$30K,False
OUT0000234,STU000234,True,2025.0,3.68,True,$60K-$100K,True
OUT0000235,STU000235,False,,,False,<$30K,False
OUT0000236,STU000236,True,2023.0,3.63,True,$60K-$100K,True
OUT0000237,STU000237,True,2019.0,4.92,False,$30K-$60K,False
OUT0000238,STU000238,False,,,False,<$30K,False
OUT0000239,STU000239,True,2025.0,4.27,True,$30K-$60K,True
OUT0000240,STU000240,True,2018.0,2.12,True,$30K-$60K,True
OUT0000241,STU000241,False,,,False,<$30K,False
OUT0000242,STU000242,True,2022.0,4.09,True,$60K-$100K,True
OUT0000243,STU000243,True,2021.0,2.87,True,>$100K,True
OUT0000244,STU000244,False,,,False,<$30K,False
OUT0000245,STU000245,False,,,False,<$30K,False
OUT0000246,STU000246,False,,,False,<$30K,False
OUT0000247,STU000247,False,,,False,<$30K,False
OUT0000248,STU000248,True,2020.0,5.28,True,$60K-$100K,True
OUT0000249,STU000249,False,,,True,<$30K,False
OUT0000250,STU000250,True,2025.0,4.26,True,<$30K,True
OUT0000251,STU000251,False,,,False,<$30K,False
OUT0000252,STU000252,False,,,True,$30K-$60K,False
OUT0000253,STU000253,False,,,False,$30K-$60K,False
OUT0000254,STU000254,False,,,False,<$30K,False
OUT0000255,STU000255,False,,,False,<$30K,False
OUT0000256,STU000256,False,,,True,<$30K,False
OUT0000257,STU000257,False,,,False,<$30K,False
OUT0000258,STU000258,False,,,False,<$30K,False
OUT0000259,STU000259,True,2022.0,1.74,True,$30K-$60K,True
OUT0000260,STU000260,False,,,False,<$30K,False
OUT0000261,STU000261,False,,,False,<$30K,False
OUT0000262,STU000262,False,,,False,<$30K,False
OUT0000263,STU000263,False,,,True,$30K-$60K,False
OUT0000264,STU000264,True,2023.0,3.87,True,$60K-$100K,True
OUT0000265,STU000265,True,2021.0,3.05,False,$30K-$60K,False
OUT0000266,STU000266,False,,,False,<$30K,False
OUT0000267,STU000267,False,,,False,<$30K,False
OUT0000268,STU000268,True,2022.0,2.62,False,$30K-$60K,False
OUT0000269,STU000269,False,,,True,<$30K,False
OUT0000270,STU000270,True,2022.0,2.87,True,$60K-$100K,True
OUT0000271,STU000271,False,,,True,<$30K,False
OUT0000272,STU000272,False,,,False,<$30K,False
OUT0000273,STU000273,True,2022.0,2.22,True,$30K-$60K,True
OUT0000274,STU000274,True,2022.0,2.7,False,$30K-$60K,False
OUT0000275,STU000275,False,,,False,$30K-$60K,False
OUT0000276,STU000276,False,,,False,<$30K,False
OUT0000277,STU000277,False,,,False,<$30K,False
OUT0000278,STU000278,True,2019.0,1.75,False,<$30K,False
OUT0000279,STU000279,True,2020.0,1.74,True,$30K-$60K,True
OUT0000280,STU000280,True,2022.0,4.81,True,$30K-$60K,True
OUT0000281,STU000281,True,2022.0,2.05,False,$30K-$60K,False
OUT0000282,STU000282,False,,,False,<$30K,False
OUT0000283,STU000283,False,,,True,$30K-$60K,False
OUT0000284,STU000284,True,2020.0,3.42,True,$60K-$100K,True
OUT0000285,STU000285,True,2023.0,3.77,False,$30K-$60K,False
OUT0000286,STU000286,True,2022.0,1.84,False,$60K-$100K,False
OUT0000287,STU000287,False,,,False,<$30K,False
OUT0000288,STU000288,True,2027.0,1.56,False,<$30K,False
OUT0000289,STU000289,False,,,False,<$30K,False
OUT0000290,STU000290,False,,,True,<$30K,False
OUT0000291,STU000291,True,2018.0,1.74,False,$30K-$60K,False
OUT0000292,STU000292,True,2022.0,2.78,True,$30K-$60K,True
OUT0000293,STU000293,False,,,True,<$30K,False
OUT0000294,STU000294,True,2019.0,2.59,True,$60K-$100K,True
OUT0000295,STU000295,False,,,True,$30K-$60K,False
OUT0000296,STU000296,False,,,False,<$30K,False
OUT0000297,STU000297,True,2020.0,3.92,True,$30K-$60K,True
OUT0000298,STU000298,False,,,False,<$30K,False
OUT0000299,STU000299,False,,,False,$30K-$60K,False
OUT0000300,STU000300,True,2022.0,3.47,True,$60K-$100K,True
OUT0000301,STU000301,True,2021.0,3.72,True,$30K-$60K,True
OUT0000302,STU000302,True,2023.0,3.21,True,<$30K,True
OUT0000303,STU000303,True,2021.0,3.97,True,<$30K,True
OUT0000304,STU000304,False,,,False,<$30K,False
OUT0000305,STU000305,False,,,True,<$30K,False
OUT0000306,STU000306,True,2020.0,4.87,True,$30K-$60K,True
OUT0000307,STU000307,True,2021.0,2.81,True,$30K-$60K,True
OUT0000308,STU000308,False,,,True,<$30K,False
OUT0000309,STU000309,False,,,True,$30K-$60K,False
OUT0000310,STU000310,True,2023.0,2.37,True,$30K-$60K,True
OUT0000311,STU000311,False,,,False,$30K-$60K,False
OUT0000312,STU000312,True,2022.0,4.6,True,$60K-$100K,True
OUT0000313,STU000313,True,2020.0,1.93,True,$30K-$60K,True
OUT0000314,STU000314,True,2021.0,2.66,False,$60K-$100K,False
OUT0000315,STU000315,True,2020.0,4.39,False,$60K-$100K,False
OUT0000316,STU000316,True,2020.0,2.87,False,$30K-$60K,False
OUT0000317,STU000317,True,2022.0,3.13,True,<$30K,True
OUT0000318,STU000318,True,2020.0,1.53,True,$30K-$60K,True
OUT0000319,STU000319,False,,,False,<$30K,False
OUT0000320,STU000320,True,2028.0,3.6,False,$30K-$60K,False
OUT0000321,STU000321,False,,,False,<$30K,False
OUT0000322,STU000322,False,,,False,<$30K,False
OUT0000323,STU000323,False,,,True,<$30K,False
OUT0000324,STU000324,False,,,False,<$30K,False
OUT0000325,STU000325,True,2021.0,5.32,False,$30K-$60K,False
OUT0000326,STU000326,True,2021.0,3.48,False,$60K-$100K,False
OUT0000327,STU000327,True,2019.0,4.4,True,>$100K,True
OUT0000328,STU000328,False,,,False,<$30K,False
OUT0000329,STU000329,True,2021.0,2.44,True,$30K-$60K,True
OUT0000330,STU000330,True,2023.0,5.32,True,$60K-$100K,True
OUT0000331,STU000331,True,2028.0,1.63,True,$30K-$60K,True
OUT0000332,STU000332,False,,,False,$30K-$60K,False
OUT0000333,STU000333,True,2025.0,2.76,True,$30K-$60K,True
OUT0000334,STU000334,True,2019.0,5.28,True,>$100K,True
OUT0000335,STU000335,False,,,False,<$30K,False
OUT0000336,STU000336,True,2021.0,2.67,True,$30K-$60K,True
OUT0000337,STU000337,True,2023.0,4.34,True,$30K-$60K,True
OUT0000338,STU000338,False,,,False,$30K-$60K,False
OUT0000339,STU000339,True,2022.0,1.83,False,>$100K,False
OUT0000340,STU000340,False,,,True,$30K-$60K,False
OUT0000341,STU000341,True,2023.0,1.88,False,<$30K,False
OUT0000342,STU000342,True,2021.0,1.82,True,$30K-$60K,True
OUT0000343,STU000343,True,2024.0,2.57,True,<$30K,True
OUT0000344,STU000344,False,,,True,$30K-$60K,False
OUT0000345,STU000345,True,2022.0,2.57,True,$30K-$60K,True
OUT0000346,STU000346,True,2019.0,3.88,True,$30K-$60K,True
OUT0000347,STU000347,True,2024.0,1.56,True,<$30K,True
OUT0000348,STU000348,False,,,True,<$30K,False
OUT0000349,STU000349,False,,,False,<$30K,False
OUT0000350,STU000350,True,2024.0,3.28,False,<$30K,False
OUT0000351,STU000351,True,2024.0,1.59,True,<$30K,True
OUT0000352,STU000352,False,,,True,<$30K,False
OUT0000353,STU000353,True,2025.0,3.44,True,$30K-$60K,True
OUT0000354,STU000354,True,2024.0,3.24,True,$60K-$100K,True
OUT0000355,STU000355,True,2023.0,5.32,False,$30K-$60K,False
OUT0000356,STU000356,False,,,True,<$30K,False
OUT0000357,STU000357,False,,,True,<$30K,False
OUT0000358,STU000358,False,,,True,$30K-$60K,False
OUT0000359,STU000359,False,,,False,$30K-$60K,False
OUT0000360,STU000360,True,2024.0,4.61,True,<$30K,True
OUT0000361,STU000361,True,2019.0,5.01,True,$60K-$100K,True
OUT0000362,STU000362,False,,,True,<$30K,False
OUT0000363,STU000363,True,2026.0,5.19,False,<$30K,False
OUT0000364,STU000364,True,2020.0,2.42,True,$60K-$100K,True
OUT0000365,STU000365,True,2019.0,3.6,True,$60K-$100K,True
OUT0000366,STU000366,True,2024.0,3.69,False,<$30K,False
OUT0000367,STU000367,False,,,True,$30K-$60K,False
OUT0000368,STU000368,True,2025.0,2.68,True,$30K-$60K,True
OUT0000369,STU000369,True,2022.0,1.69,True,<$30K,True
OUT0000370,STU000370,False,,,False,<$30K,False
OUT0000371,STU000371,False,,,False,<$30K,False
OUT0000372,STU000372,True,2024.0,5.05,True,$30K-$60K,True
OUT0000373,STU000373,False,,,False,<$30K,False
OUT0000374,STU000374,True,2023.0,4.35,True,$60K-$100K,True
OUT0000375,STU000375,False,,,False,<$30K,False
OUT0000376,STU000376,False,,,False,<$30K,False
OUT0000377,STU000377,False,,,True,$30K-$60K,False
OUT0000378,STU000378,True,2021.0,5.5,True,$30K-$60K,True
OUT0000379,STU000379,True,2024.0,3.7,False,$60K-$100K,False
OUT0000380,STU000380,True,2022.0,5.38,True,$60K-$100K,True
OUT0000381,STU000381,False,,,True,<$30K,False
OUT0000382,STU000382,True,2021.0,2.21,True,>$100K,True
OUT0000383,STU000383,False,,,True,<$30K,False
OUT0000384,STU000384,True,2024.0,2.11,True,$30K-$60K,True
OUT0000385,STU000385,False,,,False,<$30K,False
OUT0000386,STU000386,False,,,False,$30K-$60K,False
OUT0000387,STU000387,True,2020.0,4.69,False,$30K-$60K,False
OUT0000388,STU000388,False,,,False,<$30K,False
OUT0000389,STU000389,True,2020.0,4.33,True,$60K-$100K,True
OUT0000390,STU000390,False,,,False,<$30K,False
OUT0000391,STU000391,False,,,True,$30K-$60K,False
OUT0000392,STU000392,True,2021.0,3.14,True,$60K-$100K,True
OUT0000393,STU000393,False,,,False,$30K-$60K,False
OUT0000394,STU000394,False,,,False,<$30K,False
OUT0000395,STU000395,False,,,False,<$30K,False
OUT0000396,STU000396,False,,,False,$30K-$60K,False
OUT0000397,STU000397,False,,,True,<$30K,False
OUT0000398,STU000398,True,2019.0,1.86,True,<$30K,True
OUT0000399,STU000399,True,2025.0,4.91,True,>$100K,True
OUT0000400,STU000400,False,,,True,<$30K,False
OUT0000401,STU000401,False,,,True,<$30K,False
OUT0000402,STU000402,True,2025.0,2.14,True,>$100K,True
OUT0000403,STU000403,False,,,False,$30K-$60K,False
OUT0000404,STU000404,False,,,False,<$30K,False
OUT0000405,STU000405,True,2022.0,5.12,True,$60K-$100K,True
OUT0000406,STU000406,True,2021.0,4.12,True,<$30K,True
OUT0000407,STU000407,False,,,True,<$30K,False
OUT0000408,STU000408,False,,,False,<$30K,False
OUT0000409,STU000409,True,2027.0,3.03,True,$30K-$60K,True
OUT0000410,STU000410,True,2018.0,5.38,True,$30K-$60K,True
OUT0000411,STU000411,False,,,False,<$30K,False
OUT0000412,STU000412,True,2023.0,4.98,True,<$30K,True
OUT0000413,STU000413,True,2021.0,2.61,True,<$30K,True
OUT0000414,STU000414,False,,,False,$30K-$60K,False
OUT0000415,STU000415,False,,,True,<$30K,False
OUT0000416,STU000416,True,2023.0,4.71,True,>$100K,True
OUT0000417,STU000417,True,2020.0,1.85,False,$30K-$60K,False
OUT0000418,STU000418,True,2022.0,5.41,False,$30K-$60K,False
OUT0000419,STU000419,False,,,True,<$30K,False
OUT0000420,STU000420,True,2025.0,4.21,True,$30K-$60K,True
OUT0000421,STU000421,False,,,False,<$30K,False
OUT0000422,STU000422,False,,,False,<$30K,False
OUT0000423,STU000423,True,2021.0,3.32,True,<$30K,True
OUT0000424,STU000424,False,,,True,$30K-$60K,False
OUT0000425,STU000425,True,2021.0,2.22,False,<$30K,False
OUT0000426,STU000426,False,,,False,<$30K,False
OUT0000427,STU000427,False,,,True,<$30K,False
OUT0000428,STU000428,False,,,False,<$30K,False
OUT0000429,STU000429,True,2024.0,4.76,True,>$100K,True
OUT0000430,STU000430,True,2022.0,3.24,True,$30K-$60K,True
OUT0000431,STU000431,False,,,False,$30K-$60K,False
OUT0000432,STU000432,False,,,False,$30K-$60K,False
OUT0000433,STU000433,True,2022.0,2.88,True,$60K-$100K,True
OUT0000434,STU000434,False,,,False,<$30K,False
OUT0000435,STU000435,True,2024.0,4.59,False,$60K-$100K,False
OUT0000436,STU000436,False,,,False,$30K-$60K,False
OUT0000437,STU000437,True,2022.0,4.84,True,$30K-$60K,True
OUT0000438,STU000438,False,,,False,<$30K,False
OUT0000439,STU000439,True,2021.0,4.35,True,$60K-$100K,True
OUT0000440,STU000440,True,2024.0,5.09,False,$30K-$60K,False
OUT0000441,STU000441,False,,,True,<$30K,False
OUT0000442,STU000442,True,2020.0,1.82,True,$30K-$60K,True
OUT0000443,STU000443,False,,,True,<$30K,False
OUT0000444,STU000444,True,2025.0,1.85,True,$30K-$60K,True
OUT0000445,STU000445,True,2021.0,2.06,False,$60K-$100K,False
OUT0000446,STU000446,False,,,False,<$30K,False
OUT0000447,STU000447,True,2020.0,2.88,True,$60K-$100K,True
OUT0000448,STU000448,True,2022.0,3.73,True,$30K-$60K,True
OUT0000449,STU000449,False,,,False,$30K-$60K,False
OUT0000450,STU000450,True,2018.0,2.14,True,$60K-$100K,True
OUT0000451,STU000451,False,,,False,<$30K,False
OUT0000452,STU000452,True,2019.0,2.56,True,$30K-$60K,True
OUT0000453,STU000453,True,2027.0,5.1,True,<$30K,True
OUT0000454,STU000454,True,2022.0,4.61,True,$30K-$60K,True
OUT0000455,STU000455,False,,,True,<$30K,False
OUT0000456,STU000456,False,,,False,<$30K,False
OUT0000457,STU000457,True,2021.0,3.51,True,$60K-$100K,True
